t vw vv vT
4.115673065185546875e+00 1.129555329680442810e-02 9.999362230300903320e-01 1.000000000000000000e+00
4.019531250000000000e+00 1.108323503285646439e-02 9.999384880065917969e-01 9.999998807907104492e-01
3.943991184234619141e+00 1.109265070408582687e-02 9.999384284019470215e-01 9.999999403953552246e-01
3.858887910842895508e+00 1.189417298883199692e-02 9.999294281005859375e-01 1.000000119209289551e+00
3.812514305114746094e+00 1.154212467372417450e-02 9.999333620071411133e-01 9.999999403953552246e-01
3.659685611724853516e+00 1.235831715166568756e-02 9.999235868453979492e-01 9.999999403953552246e-01
3.595040798187255859e+00 1.241826266050338745e-02 9.999229311943054199e-01 1.000000000000000000e+00
3.495043277740478516e+00 1.330148987472057343e-02 9.999115467071533203e-01 1.000000000000000000e+00
3.409147739410400391e+00 1.309007871896028519e-02 9.999142289161682129e-01 9.999998807907104492e-01
3.358156919479370117e+00 1.338799484074115753e-02 9.999104142189025879e-01 1.000000000000000000e+00
3.309418678283691406e+00 1.259269844740629196e-02 9.999206066131591797e-01 9.999998807907104492e-01
3.251981496810913086e+00 1.379980891942977905e-02 9.999046325683593750e-01 9.999998211860656738e-01
3.154923200607299805e+00 1.389707718044519424e-02 9.999033808708190918e-01 9.999999403953552246e-01
3.115684509277343750e+00 1.360609661787748337e-02 9.999074339866638184e-01 1.000000000000000000e+00
3.000840663909912109e+00 1.484629418700933456e-02 9.998898506164550781e-01 1.000000000000000000e+00
2.903719902038574219e+00 1.487906556576490402e-02 9.998890757560729980e-01 9.999997615814208984e-01
2.725883245468139648e+00 1.551049295812845230e-02 9.998797178268432617e-01 1.000000000000000000e+00
2.711406469345092773e+00 1.623199135065078735e-02 9.998682141304016113e-01 9.999999403953552246e-01
2.482549667358398438e+00 1.726425066590309143e-02 9.998509287834167480e-01 9.999999403953552246e-01
