t dd no-dd
8.000000000000000000e+00 7.049571514129638672e+00 1.021807765960693359e+01
8.000000000000000000e+00 7.049571514129638672e+00 1.021807765960693359e+01
8.000000000000000000e+00 7.049571514129638672e+00 1.021807765960693359e+01
8.000000000000000000e+00 7.049571514129638672e+00 1.021807765960693359e+01
8.000000000000000000e+00 7.049571514129638672e+00 1.021807765960693359e+01
9.000000000000000000e+00 6.792994499206542969e+00 9.831759452819824219e+00
9.000000000000000000e+00 6.792994499206542969e+00 9.831759452819824219e+00
9.000000000000000000e+00 6.792994499206542969e+00 9.831759452819824219e+00
9.000000000000000000e+00 6.792994499206542969e+00 9.831759452819824219e+00
9.000000000000000000e+00 6.792994499206542969e+00 9.831759452819824219e+00
9.000000000000000000e+00 6.792994499206542969e+00 9.831759452819824219e+00
9.000000000000000000e+00 6.792994499206542969e+00 9.831759452819824219e+00
1.000000000000000000e+01 6.882885932922363281e+00 9.489812850952148438e+00
1.000000000000000000e+01 6.882885932922363281e+00 9.489812850952148438e+00
1.000000000000000000e+01 6.882885932922363281e+00 9.489812850952148438e+00
1.000000000000000000e+01 6.882885932922363281e+00 9.489812850952148438e+00
1.000000000000000000e+01 6.882885932922363281e+00 9.489812850952148438e+00
1.000000000000000000e+01 6.882885932922363281e+00 9.489812850952148438e+00
1.100000000000000000e+01 6.578790664672851562e+00 9.196810722351074219e+00
1.100000000000000000e+01 6.578790664672851562e+00 9.196810722351074219e+00
1.100000000000000000e+01 6.578790664672851562e+00 9.196810722351074219e+00
1.100000000000000000e+01 6.578790664672851562e+00 9.196810722351074219e+00
1.100000000000000000e+01 6.578790664672851562e+00 9.196810722351074219e+00
1.100000000000000000e+01 6.578790664672851562e+00 9.196810722351074219e+00
1.200000000000000000e+01 6.828434944152832031e+00 8.935209274291992188e+00
1.200000000000000000e+01 6.828434944152832031e+00 8.935209274291992188e+00
1.200000000000000000e+01 6.828434944152832031e+00 8.935209274291992188e+00
1.200000000000000000e+01 6.828434944152832031e+00 8.935209274291992188e+00
1.200000000000000000e+01 6.828434944152832031e+00 8.935209274291992188e+00
1.300000000000000000e+01 6.438264369964599609e+00 8.702281951904296875e+00
1.300000000000000000e+01 6.438264369964599609e+00 8.702281951904296875e+00
1.300000000000000000e+01 6.438264369964599609e+00 8.702281951904296875e+00
1.300000000000000000e+01 6.438264369964599609e+00 8.702281951904296875e+00
1.300000000000000000e+01 6.438264369964599609e+00 8.702281951904296875e+00
1.400000000000000000e+01 7.087683200836181641e+00 8.496596336364746094e+00
1.400000000000000000e+01 7.087683200836181641e+00 8.496596336364746094e+00
1.400000000000000000e+01 7.087683200836181641e+00 8.496596336364746094e+00
1.400000000000000000e+01 7.087683200836181641e+00 8.496596336364746094e+00
1.500000000000000000e+01 6.461379528045654297e+00 8.330282211303710938e+00
1.500000000000000000e+01 6.461379528045654297e+00 8.330282211303710938e+00
1.500000000000000000e+01 6.461379528045654297e+00 8.330282211303710938e+00
1.500000000000000000e+01 6.461379528045654297e+00 8.330282211303710938e+00
1.500000000000000000e+01 6.461379528045654297e+00 8.330282211303710938e+00
1.600000000000000000e+01 7.873089790344238281e+00 8.197219848632812500e+00
1.600000000000000000e+01 7.873089790344238281e+00 8.197219848632812500e+00
1.600000000000000000e+01 7.873089790344238281e+00 8.197219848632812500e+00
1.600000000000000000e+01 7.873089790344238281e+00 8.197219848632812500e+00
1.700000000000000000e+01 6.992829799652099609e+00 8.079546928405761719e+00
1.700000000000000000e+01 6.992829799652099609e+00 8.079546928405761719e+00
1.700000000000000000e+01 6.992829799652099609e+00 8.079546928405761719e+00
1.800000000000000000e+01 9.147027015686035156e+00 7.983792304992675781e+00
1.800000000000000000e+01 9.147027015686035156e+00 7.983792304992675781e+00
1.800000000000000000e+01 9.147027015686035156e+00 7.983792304992675781e+00
1.800000000000000000e+01 9.147027015686035156e+00 7.983792304992675781e+00
1.900000000000000000e+01 8.015369415283203125e+00 7.898847579956054688e+00
1.900000000000000000e+01 8.015369415283203125e+00 7.898847579956054688e+00
1.900000000000000000e+01 8.015369415283203125e+00 7.898847579956054688e+00
2.000000000000000000e+01 9.882259368896484375e+00 7.822894096374511719e+00
2.000000000000000000e+01 9.882259368896484375e+00 7.822894096374511719e+00
2.000000000000000000e+01 9.882259368896484375e+00 7.822894096374511719e+00
2.100000000000000000e+01 7.842520236968994141e+00 7.751119613647460938e+00
2.100000000000000000e+01 7.842520236968994141e+00 7.751119613647460938e+00
2.100000000000000000e+01 7.842520236968994141e+00 7.751119613647460938e+00
2.200000000000000000e+01 8.767304420471191406e+00 7.683393955230712891e+00
2.200000000000000000e+01 8.767304420471191406e+00 7.683393955230712891e+00
2.200000000000000000e+01 8.767304420471191406e+00 7.683393955230712891e+00
2.300000000000000000e+01 6.791143417358398438e+00 7.619210243225097656e+00
2.300000000000000000e+01 6.791143417358398438e+00 7.619210243225097656e+00
2.300000000000000000e+01 6.791143417358398438e+00 7.619210243225097656e+00
2.400000000000000000e+01 7.474789619445800781e+00 7.558370590209960938e+00
2.400000000000000000e+01 7.474789619445800781e+00 7.558370590209960938e+00
2.500000000000000000e+01 6.225132942199707031e+00 7.500427246093750000e+00
2.500000000000000000e+01 6.225132942199707031e+00 7.500427246093750000e+00
2.500000000000000000e+01 6.225132942199707031e+00 7.500427246093750000e+00
2.600000000000000000e+01 6.794002532958984375e+00 7.445217132568359375e+00
2.600000000000000000e+01 6.794002532958984375e+00 7.445217132568359375e+00
2.700000000000000000e+01 6.077648162841796875e+00 7.392549037933349609e+00
2.700000000000000000e+01 6.077648162841796875e+00 7.392549037933349609e+00
2.700000000000000000e+01 6.077648162841796875e+00 7.392549037933349609e+00
2.800000000000000000e+01 6.481981754302978516e+00 7.344863414764404297e+00
2.800000000000000000e+01 6.481981754302978516e+00 7.344863414764404297e+00
2.900000000000000000e+01 6.034619808197021484e+00 7.299715042114257812e+00
2.900000000000000000e+01 6.034619808197021484e+00 7.299715042114257812e+00
3.000000000000000000e+01 6.320758819580078125e+00 7.256501674652099609e+00
3.000000000000000000e+01 6.320758819580078125e+00 7.256501674652099609e+00
3.100000000000000000e+01 6.037919998168945312e+00 7.216991424560546875e+00
3.100000000000000000e+01 6.037919998168945312e+00 7.216991424560546875e+00
3.200000000000000000e+01 6.222820281982421875e+00 7.179044246673583984e+00
3.200000000000000000e+01 6.222820281982421875e+00 7.179044246673583984e+00
3.300000000000000000e+01 6.049151420593261719e+00 7.142401218414306641e+00
3.300000000000000000e+01 6.049151420593261719e+00 7.142401218414306641e+00
3.400000000000000000e+01 6.171523571014404297e+00 7.107003688812255859e+00
3.400000000000000000e+01 6.171523571014404297e+00 7.107003688812255859e+00
3.500000000000000000e+01 6.059824943542480469e+00 7.075825214385986328e+00
3.500000000000000000e+01 6.059824943542480469e+00 7.075825214385986328e+00
3.600000000000000000e+01 6.142785549163818359e+00 7.045927524566650391e+00
3.600000000000000000e+01 6.142785549163818359e+00 7.045927524566650391e+00
3.700000000000000000e+01 6.066407680511474609e+00 7.016866683959960938e+00
3.700000000000000000e+01 6.066407680511474609e+00 7.016866683959960938e+00
3.800000000000000000e+01 6.122971057891845703e+00 6.988701343536376953e+00
3.900000000000000000e+01 6.070294857025146484e+00 6.961269378662109375e+00
3.900000000000000000e+01 6.070294857025146484e+00 6.961269378662109375e+00
4.000000000000000000e+01 6.108646869659423828e+00 6.934538364410400391e+00
4.100000000000000000e+01 6.071953296661376953e+00 6.908419609069824219e+00
4.100000000000000000e+01 6.071953296661376953e+00 6.908419609069824219e+00
4.200000000000000000e+01 6.098598480224609375e+00 6.882921695709228516e+00
4.300000000000000000e+01 6.072435379028320312e+00 6.858121395111083984e+00
4.300000000000000000e+01 6.072435379028320312e+00 6.858121395111083984e+00
